Date,MaxTemp,MinTemp,TOTALDEMAND,RRP,DAILYT
2018-01-01,24.86666666666649,16.499999999999996,3988.814893617017,71.06340425531882,6149738.461000101
2018-01-02,22.53333333333274,16.249999999999996,4581.217083333328,71.76874999999987,6381157.417799944
2018-01-03,21.433333333333735,14.033333333333257,4889.427499999997,77.65999999999976,6219129.074400043
2018-01-04,23.3000000000001,12.83333333333322,4117.376250000018,73.07083333333323,6730797.359999921
2018-01-05,30.999999999999986,13.43333333333313,5110.09312499998,72.52166666666682,7976139.30400006
2018-01-06,42.36666666666655,17.133333333333095,5661.002708333358,98.24041666666743,11485248.981199874
2018-01-07,22.066666666666343,17.700000000000042,5179.711250000033,81.36999999999998,7428132.482399875
2018-01-08,22.566666666666315,16.93333333333334,5583.539999999991,73.36354166666642,7277108.268000149
2018-01-09,22.133333333332505,15.033333333333758,4847.690208333349,100.33312500000031,6599655.088599994
2018-01-10,26.399999999998517,13.633333333333022,4769.44333333333,108.66479166666755,6927908.59140004
2018-01-11,34.20000000000083,13.533333333333205,4972.9443750000055,99.0541666666666,9657945.45619992
2018-01-12,29.033333333334173,20.70000000000012,4196.8849999999975,68.71229166666663,9113989.469399817
2018-01-13,21.23333333333307,15.399999999999588,4124.043750000012,73.0883333333332,6638384.839399859
2018-01-14,19.73333333333293,12.16666666666665,3834.2366666666835,65.74854166666684,5921764.358599959
2018-01-15,21.133333333333663,14.699999999999793,4557.878958333324,85.82354166666613,6673505.068800047
2018-01-16,26.099999999999625,12.199999999999806,4836.417916666658,91.20791666666676,6770802.852600013
2018-01-17,29.49999999999934,11.233333333333517,5386.931874999995,98.39333333333363,8115720.656399946
2018-01-18,40.1666666666678,15.033333333333216,6443.669375000038,904.5291666666662,11988554.605599727
2018-01-19,41.63333333333291,21.466666666666544,6877.941458333351,523.3735416666651,13468558.841200056
2018-01-20,25.666666666666163,19.300000000000264,5201.042708333342,93.33458333333327,9410483.273600165
2018-01-21,28.80000000000075,20.633333333333177,5304.38333333335,116.4387499999996,10065295.002799988
2018-01-22,25.000000000001084,19.833333333333385,5748.142708333318,113.93229166666704,9333656.628799949
2018-01-23,24.333333333331986,17.64999999999977,5346.436250000022,100.75833333333337,7963190.750600048
2018-01-24,24.533333333333644,13.933333333333348,5370.823541666662,102.66124999999948,7914247.632599874
2018-01-25,28.766666666665678,17.1333333333329,5801.883750000013,142.34937500000078,9379903.480599979
2018-01-26,28.333333333333332,19.433333333333607,5358.310833333317,89.13520833333327,9387247.614399936
2018-01-27,32.63333333333391,20.866666666666724,5796.441041666687,101.44458333333317,11236208.049400067
2018-01-28,38.900000000000325,21.63333333333254,6643.195416666682,246.02437500000002,15106938.793200294
2018-01-29,34.366666666665814,27.96666666666658,6684.89854166671,105.88791666666722,13081528.613399904
2018-01-30,21.0,15.400000000000237,4801.648749999998,77.44666666666679,7187251.845000039
2018-01-31,19.666666666665822,14.199999999999834,4521.8408333333255,64.16937500000029,6518991.95680005
2018-02-01,22.666666666666096,11.566666666666444,4386.577083333335,68.78812499999978,6317533.999400097
2018-02-02,22.733333333333686,13.70000000000032,4706.097499999999,79.75375000000007,6551348.3951999685
2018-02-03,27.86666666666618,16.06666666666681,4998.347083333333,91.04916666666627,7007826.736199971
2018-02-04,26.09999999999944,14.566666666666963,4094.0937500000214,60.74916666666662,7413743.287599955
2018-02-05,25.733333333333807,15.933333333333206,4946.524791666661,65.46041666666679,8046866.335800079
2018-02-06,30.900000000000805,16.80000000000006,5134.419791666649,97.96145833333335,9209528.490000036
2018-02-07,37.45000000000021,17.2333333333333,5863.05229166669,84.90166666666684,12127077.779399727
2018-02-08,27.666666666667133,20.066666666666755,5376.041666666678,64.29833333333286,10477844.131999763
2018-02-09,25.700000000000724,19.950000000000294,4933.454375000037,133.8285416666664,8959603.90420006
2018-02-10,31.249999999999773,17.499999999999982,4769.09187499999,103.7652083333332,8460902.089400139
2018-02-11,21.766666666665987,15.299999999999562,4866.410625000006,77.48729166666679,6642668.616799941
2018-02-12,23.200000000000077,16.033333333333097,3704.294374999991,21.399375000000056,6807041.637600113
2018-02-13,28.066666666665697,12.799999999999727,5203.44645833333,98.30687499999996,7369227.7815999715
2018-02-14,23.233333333332308,17.166666666666984,4802.895833333361,71.18874999999949,6812921.467399984
2018-02-15,23.733333333333977,12.633333333333532,4885.84354166668,82.36874999999951,6871440.090999999
2018-02-16,22.03333333333406,15.233333333333428,4780.681458333347,86.25916666666639,6597906.528600105
2018-02-17,25.700000000001054,11.099999999999877,4408.330625000019,82.27854166666762,6640376.635399956
2018-02-18,24.26666666666629,12.699999999999886,4378.563124999995,76.1793750000003,6951826.8686000565
2018-02-19,25.29999999999996,17.566666666666375,4713.184375000018,73.32041666666619,7264173.570399906
2018-02-20,28.699999999999985,14.099999999999808,5001.474375000068,76.49354166666637,7403757.637399871
2018-02-21,30.133333333334544,14.300000000000363,5186.725625000043,83.55583333333354,7709879.014800095
2018-02-22,31.300000000000068,19.0666666666668,5566.961041666662,87.16604166666644,8793725.247800136
2018-02-23,34.4000000000009,21.00000000000004,5680.347708333321,84.32250000000015,9749086.22939996
2018-02-24,31.13333333333382,22.333333333333712,4967.768125000002,74.07979166666682,9062815.003600027
2018-02-25,20.549999999999518,15.666666666666647,4012.7112500000085,55.59958333333337,6590234.354599962
2018-02-26,26.666666666666163,14.499999999999986,4914.681874999999,75.37770833333356,7052241.347600072
2018-02-27,32.00000000000062,13.26666666666645,5328.928541666686,70.47104166666674,8317168.140600047
